City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,bubaque,11.2833,-15.8333,27.12,85,100,5.42,GW,1719256652
231,eirunepe,-6.6603,-69.8736,30.41,58,99,1.0,BR,1719256653
232,yigo village,13.5361,144.8886,27.16,88,75,6.17,GU,1719256653
233,hammerfest,70.6634,23.6821,11.25,82,75,1.03,NO,1719256653
234,san jeronimo de juarez,17.1333,-100.4667,29.46,70,99,3.47,MX,1719256653
235,sai kung,22.3822,114.2728,30.16,79,100,2.3,CN,1719256654
236,kapuskasing,49.4169,-82.4331,29.05,28,75,7.2,CA,1719256654
237,brisas de zicatela,15.8369,-97.0419,30.29,70,75,4.63,MX,1719256654
238,viedma,-40.8135,-62.9967,7.25,62,100,5.24,AR,1719256655
239,weno,7.4515,151.8468,28.44,81,100,8.69,FM,1719256655
240,kurmuk,10.55,34.2833,22.69,77,63,1.47,SD,1719256655
241,krasnyy kut,50.95,46.9667,17.73,64,26,3.13,RU,1719256655
242,bonthe,7.5264,-12.505,25.99,86,100,4.54,SL,1719256656
243,pisco,-13.7,-76.2167,17.03,88,100,3.6,PE,1719256656
244,balsas,-7.5325,-46.0356,35.34,25,29,3.01,BR,1719256657
245,erenhot,43.6475,111.9767,21.27,25,0,3.26,CN,1719256657
246,igarka,67.4667,86.5833,19.16,71,95,3.57,RU,1719256657
247,usogorsk,63.4106,48.6872,7.53,89,100,4.15,RU,1719256657
248,mount pearl,47.5166,-52.7813,17.47,96,100,9.26,CA,1719256658
249,burutu,5.3509,5.5076,25.45,89,100,3.21,NG,1719256658
250,punta arenas,-53.15,-70.9167,0.06,80,75,5.66,CL,1719256658
251,gizo,-8.103,156.8419,27.76,81,50,3.54,SB,1719256659
252,saint-joseph,-21.3667,55.6167,21.21,81,26,6.84,RE,1719256659
253,ust-nera,64.5667,143.2,16.95,76,100,2.06,RU,1719256659
254,san rafael del sur,11.8485,-86.4384,31.17,64,93,2.95,NI,1719256659
255,vilyuchinsk,52.9306,158.4028,7.15,89,11,0.31,RU,1719256660
256,salamina,37.9643,23.4965,29.37,52,0,1.03,GR,1719256660
257,baruun-urt,46.6806,113.2792,16.28,50,8,1.67,MN,1719256660
258,rivera,-30.9053,-55.5508,11.76,66,0,4.73,UY,1719256661
259,ada,43.4166,-116.1262,30.68,21,0,5.36,US,1719256661
260,marsh harbour,26.5412,-77.0636,28.62,75,89,7.56,BS,1719256542
261,catalao,-18.1658,-47.9464,28.58,27,0,1.92,BR,1719256661
262,mejit,10.2753,170.8646,27.87,75,100,9.15,MH,1719256662
263,itoman,26.1247,127.6694,28.43,94,40,4.12,JP,1719256662
264,zhanaozen,43.3,52.8,24.91,46,0,3.2,KZ,1719256662
265,kibre mengist,5.8833,38.9833,13.91,93,100,1.2,ET,1719256663
266,galle,6.0367,80.217,26.95,84,100,5.99,LK,1719256591
267,kyshtovka,56.555,76.6271,19.49,93,100,3.44,RU,1719256663
268,manacapuru,-3.2997,-60.6206,28.95,69,79,0.44,BR,1719256663
269,contamana,-7.3333,-75.0167,35.08,37,1,1.46,PE,1719256664
270,saint-felicien,48.6501,-72.4491,27.28,38,75,2.06,CA,1719256664
271,egilsstadir,65.2653,-14.3948,12.95,54,0,7.2,IS,1719256664
272,katsuura,35.1333,140.3,22.69,94,94,6.18,JP,1719256664
273,otuzco,-7.9,-78.5833,18.59,35,1,2.9,PE,1719256665
274,kondopoga,62.2057,34.2614,14.82,77,97,1.86,RU,1719256665
275,blythe,33.6103,-114.5964,41.25,22,0,5.14,US,1719256661
276,uturoa,-16.7333,-151.4333,24.82,67,100,6.77,PF,1719256665
277,kasangulu,-4.5911,15.1708,25.03,66,100,1.91,CD,1719256666
278,bathsheba,13.2167,-59.5167,31.34,74,40,10.29,BB,1719256666
279,enewetak,11.3474,162.3373,27.8,81,60,8.98,MH,1719256666
280,sovetskaya gavan',48.9723,140.2878,7.65,97,100,2.24,RU,1719256667
281,lisala,2.15,21.5167,23.25,85,41,0.91,CD,1719256667
282,saint-philippe,-21.3585,55.7679,21.77,82,55,6.47,RE,1719256667
283,nuuk,64.1835,-51.7216,6.6,65,100,4.02,GL,1719256668
284,dwarka,22.2394,68.9678,29.19,86,100,7.07,IN,1719256668
285,malango,-2.9627,119.9001,18.46,100,32,0.63,ID,1719256668
286,celestun,20.8667,-90.4,26.65,85,97,1.67,MX,1719256669
287,sept-iles,50.2001,-66.3821,20.29,68,75,5.66,CA,1719256669
288,stanley,54.868,-1.6985,22.93,66,40,1.54,GB,1719256669
289,bafra,41.5678,35.9069,20.4,93,0,1.86,TR,1719256669
290,pemangkat,1.1667,108.9667,26.96,82,95,1.59,ID,1719256670
291,ghat,24.9647,10.1728,37.57,10,5,5.33,LY,1719256670
292,tazacorte,28.629,-17.9293,22.3,86,40,6.69,ES,1719256670
293,at taj,24.2049,23.2857,31.86,14,0,4.66,LY,1719256671
294,ilulissat,69.2167,-51.1,6.01,75,75,2.57,GL,1719256671
295,hithadhoo,-0.6,73.0833,28.63,76,0,3.96,MV,1719256671
296,ujae,8.9322,165.7642,28.16,82,100,7.5,MH,1719256671
297,tshabong,-26.05,22.45,14.09,50,0,4.01,BW,1719256672
298,ilha de mocambique,-15.0342,40.7358,25.53,66,10,6.41,MZ,1719256672
299,port moresby,-9.4431,147.1797,24.48,95,100,1.28,PG,1719256672
300,emerald,-23.5333,148.1667,10.14,92,0,3.46,AU,1719256673
301,kismayo,-0.3582,42.5454,25.72,78,89,8.42,SO,1719256673
302,shingu,33.7333,135.9833,23.4,95,100,2.01,JP,1719256673
